video_id,title,description,published_at,channel_title,tags,duration,view_count,like_count,comment_count,thumbnail_url,publish_date,publish_year,publish_month,publish_day_of_week,duration_seconds,duration_minutes,days_since_published,engagement_rate,views_per_day,like_to_view_ratio,duration_category,workout_type,is_nina_video
WWzsVVkBiLg,"Bestie duo, Danni & KB take BODYPUMP HEAVY 💪 #bodypumpheavy","Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-11-04 22:52:40,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT1M12S,5356,154,1,https://i.ytimg.com/vi/WWzsVVkBiLg/hqdefault.jpg,2025-11-04,2025,11,Tuesday,72,1.2,4,2.89395070948469,1339.0,0.02875280059746079,Short (< 15 min),BODYPUMP,False
SrWRhkShJRw,LES MILLS LIVE Amsterdam,"Two weeks ago, we brought the energy to the SugarFactory ⚡ From the first rep to the last track… LES MILLS LIVE Amsterdam, you turned it ALL the way up with us!! 🔥 Tokyo, you’re up next 👀

https://www.lesmills.com/live/

#lesmillslive #lesmillsliveamsterdam #adidaslesmills

__________

Choose a workout you’ll actually enjoy with Les Mills 💚 Choose a science-backed, endorphin-raising workout from one of the happiest places on the planet: New Zealand.

Work out at a gym near you or at home with the LES MILLS+ app: https://lmod.co/onlineworkouts

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-21 19:48:54,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT59S,7182,166,8,https://i.ytimg.com/vi/SrWRhkShJRw/hqdefault.jpg,2025-10-21,2025,10,Tuesday,59,0.9833333333333333,18,2.4227234753550544,399.0,0.023113338902812586,Short (< 15 min),Other,False
sUL1-4z05KU,Consider this your hard (and heavy) launch.,#bodypumpheavy #lesmills,2025-10-13 19:43:42,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT16S,7814,145,2,https://i.ytimg.com/vi/sUL1-4z05KU/hqdefault.jpg,2025-10-13,2025,10,Monday,16,0.26666666666666666,27,1.881238802149987,289.4074074074074,0.0185564371640645,Short (< 15 min),Other,False
ghiraWF-Sgo,What is BODYPUMP HEAVY | LES MILLS,"Choose a workout you’ll actually enjoy with Les Mills 💚 Choose a science-backed, endorphin-raising workout from one of the happiest places on the planet: New Zealand.

Work out at a gym near you or at home with the LES MILLS+ app: https://lmod.co/onlineworkouts

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-13 19:43:06,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT2M3S,11328,201,20,https://i.ytimg.com/vi/ghiraWF-Sgo/hqdefault.jpg,2025-10-13,2025,10,Monday,123,2.05,27,1.950918079096045,419.55555555555554,0.01774364406779661,Short (< 15 min),BODYPUMP,False
z7gwt-fuceI,Introducing BODYPUMP HEAVY,"Choose a workout you’ll actually enjoy with Les Mills 💚 Choose a science-backed, endorphin-raising workout from one of the happiest places on the planet: New Zealand.

Work out at a gym near you or at home with the LES MILLS+ app: https://lmod.co/onlineworkouts

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-13 19:42:28,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT56S,23741,298,16,https://i.ytimg.com/vi/z7gwt-fuceI/hqdefault.jpg,2025-10-13,2025,10,Monday,56,0.9333333333333333,27,1.3226064613958972,879.2962962962963,0.01255212501579546,Short (< 15 min),BODYPUMP,False
vQrU8YlHEUU,BORN TO MOVE 33 | School Years (6-7 year olds) | School Yard,"Designed to nurture a life-long love of physical activity, BORN TO MOVE™ helps children experience the joy and vitality of moving to music.
 
Each session feeds young people’s natural appetite for action, movement and play – and lets them enjoy the energy, confidence, good health and increased ability that goes with it. 

Disclaimer:
Children should not participate in BORN TO MOVE without adult supervision. Participation in these exercises carries an inherent risk of physical injury - particularly if participants have a history of health problems or any previous injuries. To the extent permitted by law, Les Mills and its affiliates disclaim any and all liability in connection with the exercises in this video and any instructions and advice provided.

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-12 19:42:15,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT3M12S,534,13,0,https://i.ytimg.com/vi/vQrU8YlHEUU/hqdefault.jpg,2025-10-12,2025,10,Sunday,192,3.2,28,2.4344569288389515,19.071428571428573,0.024344569288389514,Short (< 15 min),Other,False
3rrJEr7Djvs,BORN TO MOVE 33 | School Years (6-7 year olds) | Digital Creation,"Designed to nurture a life-long love of physical activity, BORN TO MOVE™ helps children experience the joy and vitality of moving to music.
 
Each session feeds young people’s natural appetite for action, movement and play – and lets them enjoy the energy, confidence, good health and increased ability that goes with it. 

Disclaimer:
Children should not participate in BORN TO MOVE without adult supervision. Participation in these exercises carries an inherent risk of physical injury - particularly if participants have a history of health problems or any previous injuries. To the extent permitted by law, Les Mills and its affiliates disclaim any and all liability in connection with the exercises in this video and any instructions and advice provided.

Work out at a gym near you or at home with the LES MILLS+ app: https://lmod.co/onlineworkouts

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-12 19:42:20,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT2M58S,1177,48,0,https://i.ytimg.com/vi/3rrJEr7Djvs/hqdefault.jpg,2025-10-12,2025,10,Sunday,178,2.966666666666667,28,4.078164825828377,42.035714285714285,0.04078164825828377,Short (< 15 min),Other,False
D2RYLsk3dMI,10-Minute Meditation with Milly | LES MILLS COLOURS,"For the full experience of LES MILLS COLOURS, head to the LES MILLS+ app:
https://my.lesmillsondemand.com/program/les-mills-colours

Find Les Mills on social:
https://www.instagram.com/lesmills
https://www.tiktok.com/@lesmills
https://www.facebook.com/lesmills",2025-10-06 22:53:58,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT10M32S,1888,52,2,https://i.ytimg.com/vi/D2RYLsk3dMI/hqdefault.jpg,2025-10-06,2025,10,Monday,632,10.533333333333333,33,2.860169491525424,57.21212121212121,0.02754237288135593,Short (< 15 min),Other,False
W-02vxixDmk,"Three days of reps, sweat and insaaaaane energy! Thank you, Amsterdam! 🥹🫶",#lesmillslive #lesmillsliveamsterdam #adidaslesmills,2025-10-04 17:57:41,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT35S,7548,192,0,https://i.ytimg.com/vi/W-02vxixDmk/hqdefault.jpg,2025-10-04,2025,10,Saturday,35,0.5833333333333334,36,2.5437201907790143,209.66666666666666,0.025437201907790145,Short (< 15 min),Other,False
Qn2OnU3XfOQ,The bronco double sprinter went offfff 🥵,#lesmillslive #lesmillsliveamsterdam #adidaslesmills,2025-10-04 15:29:26,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT23S,12103,193,6,https://i.ytimg.com/vi/Qn2OnU3XfOQ/hqdefault.jpg,2025-10-04,2025,10,Saturday,23,0.38333333333333336,36,1.6442204412129224,336.19444444444446,0.01594645955548211,Short (< 15 min),SPRINT,False
DO31UV0J_7s,Showtime (and everything that comes before) 🎥,#lesmillslive #lesmillsliveamsterdam #adidaslesmills,2025-10-04 12:13:35,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT42S,4837,110,0,https://i.ytimg.com/vi/DO31UV0J_7s/hqdefault.jpg,2025-10-04,2025,10,Saturday,42,0.7,36,2.274136861691131,134.36111111111111,0.022741368616911308,Short (< 15 min),Other,False
cowP-rOgG4g,BODYPUMP HEAVY all the way from Auckland ➡️ Amsterdam.,#lesmillslive #lesmillsliveamsterdam #adidaslesmills,2025-10-04 09:08:48,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT9S,13770,163,4,https://i.ytimg.com/vi/cowP-rOgG4g/hqdefault.jpg,2025-10-04,2025,10,Saturday,9,0.15,36,1.21278140885984,382.5,0.011837327523602033,Short (< 15 min),BODYPUMP,False
uIePL9U2fYc,Back-to-back workouts. Back-to-back sweat. Back-to-back ENERGY. Day 2 done! 💪💦 💥,#lesmillslive #lesmillsliveamsterdam #adidaslesmills,2025-10-03 20:06:04,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT32S,5943,193,1,https://i.ytimg.com/vi/uIePL9U2fYc/hqdefault.jpg,2025-10-03,2025,10,Friday,32,0.5333333333333333,36,3.264344607100791,165.08333333333334,0.03247518088507488,Short (< 15 min),Other,False
TBVqYCteg_Y,"Amsterdam, you lit up the SugarFactory with this GLOBAL GRIT CHALLENGE 💥🥵",#lesmillslive #lesmillsliveamsterdam #adidaslesmills #gritchallenge,2025-10-03 17:35:25,Les Mills,"Les Mills,Lesmills,Les Mills Group Fitness,Group Fitness,Health,Fitness,Workout Routines,Fitness Class,Fitness Classes,Workout,home workouts",PT20S,30282,308,4,https://i.ytimg.com/vi/TBVqYCteg_Y/hqdefault.jpg,2025-10-03,2025,10,Friday,20,0.3333333333333333,37,1.0303150386368138,818.4324324324324,0.010171058714748035,Short (< 15 min),GRIT,False
